category,n_features,category_only_acc,without_category_acc,contribution,standalone_vs_random
bar5s_shape,100,0.2647058823529412,0.29411764705882354,0.05882352941176472,0.06470588235294117
bar5s_lvl,33,0.38235294117647056,0.3235294117647059,0.02941176470588236,0.18235294117647055
bar5s_deriv,88,0.23529411764705882,0.3235294117647059,0.02941176470588236,0.03529411764705881
bar5s_trade,5,0.20588235294117646,0.3235294117647059,0.02941176470588236,0.00588235294117645
bar_meta,1,0.38235294117647056,0.35294117647058826,0.0,0.18235294117647055
level,1,0.23529411764705882,0.35294117647058826,0.0,0.03529411764705881
bar5s_setup,38,0.2647058823529412,0.35294117647058826,0.0,0.06470588235294117
bar5s_cumul,19,0.23529411764705882,0.35294117647058826,0.0,0.03529411764705881
bar5s_ladder,4,0.35294117647058826,0.35294117647058826,0.0,0.15294117647058825
bar5s_depth,28,0.3235294117647059,0.35294117647058826,0.0,0.12352941176470589
bar5s_meta,6,0.38235294117647056,0.35294117647058826,0.0,0.18235294117647055
bar5s_midprice,1,0.20588235294117646,0.35294117647058826,0.0,0.00588235294117645
bar5s_microprice,1,0.20588235294117646,0.35294117647058826,0.0,0.00588235294117645
extension,1,0.23529411764705882,0.35294117647058826,0.0,0.03529411764705881
flags,9,0.20588235294117646,0.35294117647058826,0.0,0.00588235294117645
episode_timing,3,0.38235294117647056,0.35294117647058826,0.0,0.18235294117647055
trigger,1,0.38235294117647056,0.35294117647058826,0.0,0.18235294117647055
bar5s_flow,42,0.2647058823529412,0.38235294117647056,-0.029411764705882304,0.06470588235294117
bar5s_wall,8,0.23529411764705882,0.38235294117647056,-0.029411764705882304,0.03529411764705881
bar5s_approach,10,0.29411764705882354,0.38235294117647056,-0.029411764705882304,0.09411764705882353
approach,3,0.29411764705882354,0.38235294117647056,-0.029411764705882304,0.09411764705882353
rvol,34,0.2647058823529412,0.38235294117647056,-0.029411764705882304,0.06470588235294117
bar5s_state,12,0.17647058823529413,0.4117647058823529,-0.05882352941176466,-0.023529411764705882
