category,n_features,category_only_acc,without_category_acc,contribution,standalone_vs_random
bar5s_setup,38,0.4228723404255319,0.35904255319148937,0.018617021276595758,0.2228723404255319
extension,1,0.3537234042553192,0.3696808510638298,0.007978723404255317,0.15372340425531916
bar5s_deriv,88,0.3324468085106383,0.3723404255319149,0.005319148936170248,0.13244680851063828
bar5s_shape,100,0.3191489361702128,0.375,0.002659574468085124,0.11914893617021277
bar5s_wall,8,0.36436170212765956,0.375,0.002659574468085124,0.16436170212765955
bar5s_trade,5,0.32978723404255317,0.375,0.002659574468085124,0.12978723404255316
episode_timing,3,0.2154255319148936,0.3776595744680851,0.0,0.015425531914893598
approach,3,0.35106382978723405,0.3776595744680851,0.0,0.15106382978723404
bar5s_state,12,0.3324468085106383,0.3776595744680851,0.0,0.13244680851063828
bar5s_ladder,4,0.2154255319148936,0.3776595744680851,0.0,0.015425531914893598
bar_meta,1,0.4228723404255319,0.3803191489361702,-0.0026595744680850686,0.2228723404255319
bar5s_cumul,19,0.36436170212765956,0.3803191489361702,-0.0026595744680850686,0.16436170212765955
bar5s_approach,10,0.375,0.3803191489361702,-0.0026595744680850686,0.175
rvol,34,0.3882978723404255,0.3803191489361702,-0.0026595744680850686,0.1882978723404255
trigger,1,0.4228723404255319,0.3803191489361702,-0.0026595744680850686,0.2228723404255319
flags,9,0.36436170212765956,0.3829787234042553,-0.005319148936170193,0.16436170212765955
level,1,0.4228723404255319,0.38563829787234044,-0.007978723404255317,0.2228723404255319
bar5s_midprice,1,0.4228723404255319,0.38563829787234044,-0.007978723404255317,0.2228723404255319
bar5s_microprice,1,0.4228723404255319,0.38563829787234044,-0.007978723404255317,0.2228723404255319
bar5s_meta,6,0.34308510638297873,0.3882978723404255,-0.010638297872340385,0.14308510638297872
bar5s_lvl,33,0.3882978723404255,0.39095744680851063,-0.01329787234042551,0.1882978723404255
bar5s_flow,42,0.3670212765957447,0.39361702127659576,-0.015957446808510634,0.16702127659574467
bar5s_depth,28,0.3617021276595745,0.3962765957446808,-0.018617021276595702,0.16170212765957448
