candidate,single_score,with_base_set,improvement,best_pair_with,best_pair_score
bar5s_setup_obi10_delta,0.30319148936170215,0.4441489361702128,-0.007978723404255317,bar5s_setup_min_dist_pts,0.4441489361702128
bar5s_shape_ask_sz_l07_eob,0.4228723404255319,0.4441489361702128,-0.007978723404255317,bar5s_setup_min_dist_pts,0.4441489361702128
bar5s_setup_obi0_delta,0.30319148936170215,0.4441489361702128,-0.007978723404255317,bar5s_setup_min_dist_pts,0.4441489361702128
bar5s_cumul_flow_net_ask_p0_1,0.4228723404255319,0.4441489361702128,-0.007978723404255317,bar5s_setup_min_dist_pts,0.4441489361702128
is_extended_forward,0.25,0.44148936170212766,-0.010638297872340441,bar5s_setup_min_dist_pts,0.44148936170212766
bar5s_approach_abs_dist_to_level_pts_eob,0.4228723404255319,0.43882978723404253,-0.013297872340425565,bar5s_setup_min_dist_pts,0.43882978723404253
bar5s_setup_approach_bars,0.38563829787234044,0.43617021276595747,-0.015957446808510634,bar5s_setup_min_dist_pts,0.43617021276595747
bar5s_deriv_obi10_d2_w12,0.34574468085106386,0.43617021276595747,-0.015957446808510634,bar5s_setup_min_dist_pts,0.43617021276595747
bar5s_flow_cnt_cancel_bid_p2_3_sum,0.31648936170212766,0.43351063829787234,-0.018617021276595758,bar5s_setup_min_dist_pts,0.43351063829787234
bar5s_deriv_obi10_d1_w3,0.26063829787234044,0.43351063829787234,-0.018617021276595758,bar5s_setup_min_dist_pts,0.43351063829787234
bar5s_deriv_dbelow01_d2_w3,0.4228723404255319,0.43351063829787234,-0.018617021276595758,bar5s_setup_min_dist_pts,0.43351063829787234
approach_direction,0.4228723404255319,0.43351063829787234,-0.018617021276595758,bar5s_setup_min_dist_pts,0.43351063829787234
bar5s_shape_bid_ct_frac_l08_eob,0.2154255319148936,0.43351063829787234,-0.018617021276595758,bar5s_setup_min_dist_pts,0.43351063829787234
bar5s_deriv_waskz_d2_w36,0.4228723404255319,0.43351063829787234,-0.018617021276595758,bar5s_setup_min_dist_pts,0.43351063829787234
bar5s_deriv_dbid10_d2_w3,0.4228723404255319,0.4308510638297872,-0.021276595744680882,bar5s_setup_min_dist_pts,0.4308510638297872
bar5s_shape_ask_ct_frac_l07_eob,0.3351063829787234,0.4308510638297872,-0.021276595744680882,bar5s_setup_min_dist_pts,0.4308510638297872
bar5s_shape_bid_ct_frac_l04_eob,0.31117021276595747,0.4308510638297872,-0.021276595744680882,bar5s_setup_min_dist_pts,0.4308510638297872
bar5s_deriv_cdi12_d1_w12,0.32180851063829785,0.42819148936170215,-0.02393617021276595,bar5s_setup_min_dist_pts,0.42819148936170215
bar5s_setup_mid_velocity,0.3271276595744681,0.42819148936170215,-0.02393617021276595,bar5s_setup_min_dist_pts,0.42819148936170215
bar5s_lvl_flow_away_net_sum,0.26595744680851063,0.42819148936170215,-0.02393617021276595,bar5s_setup_min_dist_pts,0.42819148936170215
bar5s_approach_is_pm_high,0.3271276595744681,0.42819148936170215,-0.02393617021276595,bar5s_setup_min_dist_pts,0.42819148936170215
bar5s_shape_bid_ct_frac_l01_eob,0.2978723404255319,0.42819148936170215,-0.02393617021276595,bar5s_setup_min_dist_pts,0.42819148936170215
bar5s_shape_ask_sz_l04_eob,0.4228723404255319,0.42819148936170215,-0.02393617021276595,bar5s_setup_min_dist_pts,0.42819148936170215
bar5s_setup_ask_wall_max_z,0.4228723404255319,0.42819148936170215,-0.02393617021276595,bar5s_setup_min_dist_pts,0.42819148936170215
bar5s_deriv_dask10_d1_w36,0.4228723404255319,0.42819148936170215,-0.02393617021276595,bar5s_setup_min_dist_pts,0.42819148936170215
bar5s_deriv_cdi12_d2_w72,0.4228723404255319,0.42819148936170215,-0.02393617021276595,bar5s_setup_min_dist_pts,0.42819148936170215
bar5s_flow_net_vol_ask_p0_1_sum,0.3377659574468085,0.42819148936170215,-0.02393617021276595,bar5s_setup_min_dist_pts,0.42819148936170215
bar5s_lvl_depth_at_qty_eob,0.31382978723404253,0.42819148936170215,-0.02393617021276595,bar5s_setup_min_dist_pts,0.42819148936170215
bar5s_deriv_obi0_d2_w36,0.3351063829787234,0.425531914893617,-0.026595744680851074,bar5s_setup_min_dist_pts,0.425531914893617
bar5s_shape_ask_ct_frac_l05_eob,0.4228723404255319,0.425531914893617,-0.026595744680851074,bar5s_setup_min_dist_pts,0.425531914893617
bar5s_flow_net_vol_bid_p0_1_sum,0.31648936170212766,0.425531914893617,-0.026595744680851074,bar5s_setup_min_dist_pts,0.425531914893617
bar5s_deriv_dbelow01_d1_w3,0.3324468085106383,0.425531914893617,-0.026595744680851074,bar5s_setup_min_dist_pts,0.425531914893617
bar5s_wall_ask_nearest_strong_dist_pts_eob,0.27925531914893614,0.425531914893617,-0.026595744680851074,bar5s_setup_min_dist_pts,0.425531914893617
bar5s_cumul_flow_net_bid_p1_2,0.3058510638297872,0.425531914893617,-0.026595744680851074,bar5s_setup_min_dist_pts,0.425531914893617
bar5s_shape_ask_sz_l01_eob,0.4228723404255319,0.425531914893617,-0.026595744680851074,bar5s_setup_min_dist_pts,0.425531914893617
bar5s_deriv_dist_d2_w3,0.3191489361702128,0.425531914893617,-0.026595744680851074,bar5s_setup_min_dist_pts,0.425531914893617
bar5s_approach_side_of_level_eob,0.3191489361702128,0.425531914893617,-0.026595744680851074,bar5s_setup_min_dist_pts,0.425531914893617
bar5s_shape_bid_ct_frac_l02_eob,0.375,0.425531914893617,-0.026595744680851074,bar5s_setup_min_dist_pts,0.425531914893617
bar5s_depth_above_p0_1_frac_eob,0.4228723404255319,0.425531914893617,-0.026595744680851074,bar5s_setup_min_dist_pts,0.425531914893617
bar5s_depth_below_p2_3_frac_twa,0.3058510638297872,0.4228723404255319,-0.0292553191489362,bar5s_setup_min_dist_pts,0.4228723404255319
bar5s_shape_bid_sz_frac_l01_eob,0.4228723404255319,0.4228723404255319,-0.0292553191489362,bar5s_setup_min_dist_pts,0.4228723404255319
