Found 429 feature columns.
Feature                                            | Status                         | Min        | Max        | Mean       | % Zeros 
----------------------------------------------------------------------------------------------------------------------------------
bar5s_microprice_eob                               | OK                             | 6037.7500  | 6052.3000  | 6047.5763  | 0.0     
bar5s_midprice_eob                                 | OK                             | 6037.7500  | 6052.2500  | 6047.5784  | 0.0     
bar5s_meta_msg_cnt_sum                             | OK                             | 3.0000     | 1050.0000  | 243.0621   | 0.0     
bar5s_meta_clear_cnt_sum                           | ALL_ZEROS; CONSTANT: 0.0       | 0.0000     | 0.0000     | 0.0000     | 100.0   
bar5s_meta_add_cnt_sum                             | OK                             | 1.0000     | 463.0000   | 113.1027   | 0.0     
bar5s_meta_cancel_cnt_sum                          | OK                             | 1.0000     | 433.0000   | 112.9428   | 0.0     
bar5s_meta_modify_cnt_sum                          | OK                             | 0.0000     | 149.0000   | 16.4558    | 2.3     
bar5s_meta_trade_cnt_sum                           | OK                             | 0.0000     | 13.0000    | 0.5608     | 70.2    
bar5s_state_spread_pts_twa                         | OK                             | 0.0614     | 8.6766     | 0.4902     | 0.0     
bar5s_state_spread_pts_eob                         | OK                             | 0.2500     | 7.0000     | 0.5082     | 0.0     
bar5s_state_obi0_twa                               | OK                             | -0.5424    | 0.4152     | -0.0207    | 0.4     
bar5s_state_obi0_eob                               | OK                             | -0.7500    | 0.7500     | -0.0084    | 20.2    
bar5s_state_obi10_twa                              | OK                             | -0.4237    | 0.3255     | 0.0221     | 0.0     
bar5s_state_obi10_eob                              | OK                             | -0.4386    | 0.3714     | 0.0246     | 5.4     
bar5s_state_cdi_p0_1_twa                           | OK                             | -0.3246    | 0.2721     | -0.0079    | 0.1     
bar5s_state_cdi_p0_1_eob                           | OK                             | -0.6000    | 0.3636     | -0.0094    | 10.7    
bar5s_state_cdi_p1_2_twa                           | OK                             | -0.9288    | 0.7813     | 0.0365     | 0.1     
bar5s_state_cdi_p1_2_eob                           | OK                             | -1.0000    | 1.0000     | 0.0355     | 5.7     
bar5s_state_cdi_p2_3_twa                           | OK                             | -0.9034    | 0.9048     | 0.0516     | 0.0     
bar5s_state_cdi_p2_3_eob                           | OK                             | -1.0000    | 1.0000     | 0.0530     | 6.9     
bar5s_depth_bid10_qty_twa                          | OK                             | 6.6919     | 56.1834    | 38.1459    | 0.0     
bar5s_depth_bid10_qty_eob                          | OK                             | 10.0000    | 58.0000    | 39.1141    | 0.0     
bar5s_depth_ask10_qty_twa                          | OK                             | 3.5700     | 58.0697    | 36.4527    | 0.0     
